"Name","Measurement 1","Units 1","Qty","Units","SKU","Description","Cost Each","Cost Total","Markup %","Markup Each","Markup Total","Price Each","Price Total","Created By","Created At","Updated By","Updated At","Layer"
"    C-Top w/4"" Splash, 25.5""-33""d","","","11.41","LF","","","55.00","627.73","","","0.00","55.00","627.73","Evan Ramsey","4/14/2026 9:02:01 AM","Evan Ramsey","4/14/2026 9:02:01 AM","Default"
"  Lowers w/Doors, 34""-36""h","11.41","FT","11.41","","","","155.00","1769.07","","0.00","0.00","155.00","1769.07","Evan Ramsey","4/14/2026 9:02:12 AM","Evan Ramsey","4/14/2026 9:02:12 AM","Default"
"    Lowers w/Doors, 34""-36""h","","","11.41","LF","","","155.00","1769.07","","","0.00","155.00","1769.07","Evan Ramsey","4/14/2026 9:02:12 AM","Evan Ramsey","4/14/2026 9:02:12 AM","Default"
"  Finished End @ Lower Cabinet","3","EA","3.00","","","","48.00","144.00","","0.00","0.00","48.00","144.00","Evan Ramsey","4/14/2026 9:02:12 AM","Evan Ramsey","4/14/2026 9:02:12 AM","Default"
"    Finished End @ Lower Cabinet","","","3.00","EA","","","48.00","144.00","","","0.00","48.00","144.00","Evan Ramsey","4/14/2026 9:02:12 AM","Evan Ramsey","4/14/2026 9:02:12 AM","Default"
"Reception Desk","7.00","","1.00","","","","","507.00","","","0.00","","507.00","Evan Ramsey","4/14/2026 9:03:13 AM","Evan Ramsey","4/14/2026 9:04:49 AM","Default"
"  Reception Desk","6.00","FT","","","","","","","","","","","","Evan Ramsey","4/14/2026 9:03:38 AM","Evan Ramsey","4/14/2026 9:03:46 AM","Default"
"  Drawer Ped, 3 Drw., B/B/F","1","EA","1.00","","","","507.00","507.00","","0.00","0.00","507.00","507.00","Evan Ramsey","4/14/2026 9:04:07 AM","Evan Ramsey","4/14/2026 9:04:21 AM","Default"
"    Drawer Ped, 3 Drw., B/B/F","","","1.00","EA","","","507.00","507.00","","","0.00","507.00","507.00","Evan Ramsey","4/14/2026 9:04:07 AM","Evan Ramsey","4/14/2026 9:04:07 AM","Default"
"Post Treatment 128","6.93","","6.93","","","","","3623.52","","","0.00","","3623.52","Evan Ramsey","4/14/2026 9:04:31 AM","Evan Ramsey","4/14/2026 9:04:47 AM","Default"
"  Bench With Drawers","6.93","LF","6.93","LF","","","523.00","3623.52","","","0.00","523.00","3623.52","Evan Ramsey","4/14/2026 9:05:38 AM","Evan Ramsey","4/14/2026 9:05:38 AM","Default"
