"Name","Measurement 1","Units 1","Qty","Units","SKU","Description","Cost Each","Cost Total","Markup %","Markup Each","Markup Total","Price Each","Price Total","Created By","Created At","Updated By","Updated At","Layer"
"        Transaction Top, PLAM 16"" d","","","2.17","EA","","","46.00","99.67","","","0.00","46.00","99.67","Evan Ramsey","4/13/2026 9:18:46 AM","Evan Ramsey","4/13/2026 9:18:46 AM","Default"
"Office Manager Office 107","25.08","","25.08","","","","","2268.60","","","0.00","","2268.60","Evan Ramsey","4/13/2026 9:25:05 AM","Evan Ramsey","4/13/2026 9:26:40 AM","Default"
"  Uppers w/Doors, 24""-32""h","5.54","FT","6.54","","","","133.66","740.78","","0.00","0.00","133.66","740.78","Evan Ramsey","4/13/2026 9:26:34 AM","Evan Ramsey","4/13/2026 9:26:37 AM","Default"
"    Uppers w/Doors, 24""-32""h","","","5.54","LF","","","125.00","692.78","","","0.00","125.00","692.78","Evan Ramsey","4/13/2026 9:26:34 AM","Evan Ramsey","4/13/2026 9:26:34 AM","Default"
"    Finished End @ Upper Cabinet","1","EA","1.00","","","","48.00","48.00","","0.00","0.00","48.00","48.00","Evan Ramsey","4/13/2026 9:26:56 AM","Evan Ramsey","4/13/2026 9:33:48 AM","Default"
"      Finished End @ Upper Cabinet","","","1.00","EA","","","48.00","48.00","","","0.00","48.00","48.00","Evan Ramsey","4/13/2026 9:26:56 AM","Evan Ramsey","4/13/2026 9:26:56 AM","Default"
"  C-Top w/4"" Splash, Up to 25.5""d","10.54","FT","10.54","","","","55.00","579.82","","0.00","0.00","55.00","579.82","Evan Ramsey","4/13/2026 9:33:40 AM","Evan Ramsey","4/13/2026 9:33:40 AM","Default"
"    C-Top w/4"" Splash, Up to 25.5""d","","","10.54","LF","","","55.00","579.82","","","0.00","55.00","579.82","Evan Ramsey","4/13/2026 9:33:40 AM","Evan Ramsey","4/13/2026 9:33:40 AM","Default"
"  Drawer Ped, 3 Drw., B/B/F","1","EA","1.00","","","","507.00","507.00","","0.00","0.00","507.00","507.00","Evan Ramsey","4/13/2026 9:34:05 AM","Evan Ramsey","4/13/2026 9:34:05 AM","Default"
"    Drawer Ped, 3 Drw., B/B/F","","","1.00","EA","","","507.00","507.00","","","0.00","507.00","507.00","Evan Ramsey","4/13/2026 9:34:05 AM","Evan Ramsey","4/13/2026 9:34:05 AM","Default"
"  Gambas Support Bracket","2","EA","2.00","","","","68.00","136.00","","0.00","0.00","68.00","136.00","Evan Ramsey","4/13/2026 9:37:31 AM","Evan Ramsey","4/13/2026 9:37:31 AM","Default"
"    Gambas Support Bracket","","","2.00","EA","","","68.00","136.00","","","0.00","68.00","136.00","Evan Ramsey","4/13/2026 9:37:31 AM","Evan Ramsey","4/13/2026 9:37:31 AM","Default"
"  Modesty Panel, 2-Sided, Plam","5.00","EA","5.00","EA","","","61.00","305.00","","","0.00","61.00","305.00","Evan Ramsey","4/13/2026 9:35:49 AM","Evan Ramsey","4/13/2026 9:47:39 AM","Default"
"Staff RR/Shower 109","6.44","","6.44","","","","","1405.44","","","0.00","","1405.44","Evan Ramsey","4/13/2026 9:47:26 AM","Evan Ramsey","4/13/2026 9:47:31 AM","Default"
"  Corian Countertop W/ Sub-Top","3.44","LF","3.44","LF","","","234.00","804.44","","","0.00","234.00","804.44","Evan Ramsey","4/13/2026 9:47:55 AM","Evan Ramsey","4/13/2026 9:47:55 AM","Default"
"  In-Wall Bracket, ","2.00","EA","2.00","EA","","","98.00","196.00","","","0.00","98.00","196.00","Evan Ramsey","4/13/2026 9:49:10 AM","Evan Ramsey","4/13/2026 9:49:10 AM","Default"
"  Undersink Cabinet, Hanging","1.00","EA","1.00","EA","","","405.00","405.00","","","0.00","405.00","405.00","Evan Ramsey","4/13/2026 9:49:49 AM","Evan Ramsey","4/13/2026 9:49:49 AM","Default"
"Imaging 116","8.94","","8.94","","","","","948.36","","","0.00","","948.36","Evan Ramsey","4/13/2026 10:02:20 AM","Evan Ramsey","4/13/2026 10:03:15 AM","Default"
"  Doors- Metal Perf Doors","2.00","EA","2.00","EA","","","140.00","280.00","","","0.00","140.00","280.00","Evan Ramsey","4/13/2026 10:04:49 AM","Evan Ramsey","4/13/2026 10:04:52 AM","Default"
"  C-Top w/4"" Splash, Up to 25.5""d","3.00","FT","3.00","","","","55.00","165.00","","0.00","0.00","55.00","165.00","Evan Ramsey","4/13/2026 10:03:39 AM","Evan Ramsey","4/13/2026 10:03:39 AM","Default"
"    C-Top w/4"" Splash, Up to 25.5""d","","","3.00","LF","","","55.00","165.00","","","0.00","55.00","165.00","Evan Ramsey","4/13/2026 10:03:39 AM","Evan Ramsey","4/13/2026 10:03:39 AM","Default"
"  Lowers w/Doors, 34""-36""h","2.94","FT","2.94","","","","155.00","455.36","","0.00","0.00","155.00","455.36","Evan Ramsey","4/13/2026 10:03:39 AM","Evan Ramsey","4/13/2026 10:03:39 AM","Default"
"    Lowers w/Doors, 34""-36""h","","","2.94","LF","","","155.00","455.36","","","0.00","155.00","455.36","Evan Ramsey","4/13/2026 10:03:40 AM","Evan Ramsey","4/13/2026 10:03:40 AM","Default"
"  Finished End @ Lower Cabinet","1","EA","1.00","","","","48.00","48.00","","0.00","0.00","48.00","48.00","Evan Ramsey","4/13/2026 10:03:39 AM","Evan Ramsey","4/13/2026 10:03:39 AM","Default"
"    Finished End @ Lower Cabinet","","","1.00","EA","","","48.00","48.00","","","0.00","48.00","48.00","Evan Ramsey","4/13/2026 10:03:40 AM","Evan Ramsey","4/13/2026 10:03:40 AM","Default"
"Imaging 123","9.00","","9.00","","","","","958.00","","","0.00","","958.00","Evan Ramsey","4/13/2026 10:03:12 AM","Evan Ramsey","4/13/2026 10:03:17 AM","Default"
"  C-Top w/4"" Splash, Up to 25.5""d","3.00","FT","3.00","","","","55.00","165.00","","0.00","0.00","55.00","165.00","Evan Ramsey","4/13/2026 10:03:52 AM","Evan Ramsey","4/13/2026 10:03:52 AM","Default"
"    C-Top w/4"" Splash, Up to 25.5""d","","","3.00","LF","","","55.00","165.00","","","0.00","55.00","165.00","Evan Ramsey","4/13/2026 10:03:52 AM","Evan Ramsey","4/13/2026 10:03:52 AM","Default"
"  Lowers w/Doors, 34""-36""h","3.00","FT","3.00","","","","155.00","465.00","","0.00","0.00","155.00","465.00","Evan Ramsey","4/13/2026 10:03:52 AM","Evan Ramsey","4/13/2026 10:03:52 AM","Default"
"    Lowers w/Doors, 34""-36""h","","","3.00","LF","","","155.00","465.00","","","0.00","155.00","465.00","Evan Ramsey","4/13/2026 10:03:52 AM","Evan Ramsey","4/13/2026 10:03:52 AM","Default"
"  Finished End @ Lower Cabinet","1","EA","1.00","","","","48.00","48.00","","0.00","0.00","48.00","48.00","Evan Ramsey","4/13/2026 10:03:52 AM","Evan Ramsey","4/13/2026 10:03:52 AM","Default"
"    Finished End @ Lower Cabinet","","","1.00","EA","","","48.00","48.00","","","0.00","48.00","48.00","Evan Ramsey","4/13/2026 10:03:52 AM","Evan Ramsey","4/13/2026 10:03:52 AM","Default"
"  Doors- Metal Perf Doors","2.00","EA","2.00","EA","","","140.00","280.00","","","0.00","140.00","280.00","Evan Ramsey","4/13/2026 10:04:56 AM","Evan Ramsey","4/13/2026 10:04:56 AM","Default"
"Break 111","61.57","","61.57","","","","","10253.60","","","0.00","","10253.60","Evan Ramsey","4/13/2026 10:16:35 AM","Evan Ramsey","4/13/2026 10:16:35 AM","Default"
"  Uppers w/Doors - Microwave Opening /Plam","2.15","FT","2.15","","","","232.00","498.03","","0.00","0.00","232.00","498.03","Evan Ramsey","4/14/2026 8:19:55 AM","Evan Ramsey","4/14/2026 9:32:15 AM","Default"
"    Uppers w/Doors - Microwave Opening /Plam","","","2.15","LF","","","232.00","498.03","","","0.00","232.00","498.03","Evan Ramsey","4/14/2026 8:19:55 AM","Evan Ramsey","4/14/2026 8:19:55 AM","Default"
"  C-Top w/4"" Splash, 25.5""-33""d","8.55","FT","8.55","","","","55.00","470.31","","0.00","0.00","55.00","470.31","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 9:32:19 AM","Default"
"    C-Top w/4"" Splash, 25.5""-33""d","","","8.55","LF","","","55.00","470.31","","","0.00","55.00","470.31","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 8:20:52 AM","Default"
"  Light Valence","3.54","FT","3.54","","","","13.00","45.99","","0.00","0.00","13.00","45.99","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 9:32:15 AM","Default"
"    Light Valence","","","3.54","LF","","","13.00","45.99","","","0.00","13.00","45.99","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 8:18:41 AM","Default"
"  Uppers w/Doors, 32""-38""h","6.37","FT","6.37","","","","135.00","860.10","","0.00","0.00","135.00","860.10","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 9:32:15 AM","Default"
"    Uppers w/Doors, 32""-38""h","","","6.37","LF","","","135.00","860.10","","","0.00","135.00","860.10","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 8:18:56 AM","Default"
"  Lowers Sink Cab. w/Doors, 34""-36""h, ADA w/Removable Shelf & Kick","2.67","FT","2.67","","","","199.00","530.67","","0.00","0.00","199.00","530.67","Evan Ramsey","4/14/2026 8:22:52 AM","Evan Ramsey","4/14/2026 9:32:26 AM","Default"
"    Lowers Sink Cab. w/Doors, 34""-36""h, ADA w/Removable Shelf & Kick","","","2.67","LF","","","199.00","530.67","","","0.00","199.00","530.67","Evan Ramsey","4/14/2026 8:22:52 AM","Evan Ramsey","4/14/2026 8:22:52 AM","Default"
"  Drawer Ped, 4 Drw.","1","EA","1.00","","","","554.00","554.00","","0.00","0.00","554.00","554.00","Evan Ramsey","4/14/2026 8:22:11 AM","Evan Ramsey","4/14/2026 9:32:26 AM","Default"
"    Drawer Ped, 4 Drw.","","","1.00","EA","","","554.00","554.00","","","0.00","554.00","554.00","Evan Ramsey","4/14/2026 8:22:11 AM","Evan Ramsey","4/14/2026 8:22:11 AM","Default"
"  Lowers w/Doors, 34""-36""h","4.30","FT","4.30","","","","155.00","666.50","","0.00","0.00","155.00","666.50","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 9:32:26 AM","Default"
"    Lowers w/Doors, 34""-36""h","","","4.30","LF","","","155.00","666.50","","","0.00","155.00","666.50","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/13/2026 1:35:15 PM","Default"
"  Finished End @ Lower Cabinet","1","EA","1.00","","","","48.00","48.00","","0.00","0.00","48.00","48.00","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 9:32:26 AM","Default"
"    Finished End @ Lower Cabinet","","","1.00","EA","","","48.00","48.00","","","0.00","48.00","48.00","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/13/2026 1:35:15 PM","Default"
"  Finished End @ Upper Cabinet","2","EA","2.00","","","","48.00","96.00","","0.00","0.00","48.00","96.00","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 9:32:15 AM","Default"
"    Finished End @ Upper Cabinet","","","2.00","EA","","","48.00","96.00","","","0.00","48.00","96.00","Evan Ramsey","4/13/2026 1:35:15 PM","Evan Ramsey","4/14/2026 8:19:06 AM","Default"
"  Locker 3-high w/Doors w/Padlock Hasp, 12""d","8","EA","8.00","","","","640.00","5120.00","","0.00","0.00","640.00","5120.00","Evan Ramsey","4/14/2026 8:24:05 AM","Evan Ramsey","4/14/2026 9:32:31 AM","Default"
"    Locker 3-high w/Doors w/Padlock Hasp, 12""d","","","8.00","EA","","","640.00","5120.00","","","0.00","640.00","5120.00","Evan Ramsey","4/14/2026 8:24:05 AM","Evan Ramsey","4/14/2026 8:24:22 AM","Default"
"  Comb-Cam Door Locks, Installed","22","EA","22.00","","","","62.00","1364.00","","0.00","0.00","62.00","1364.00","Evan Ramsey","4/14/2026 8:24:46 AM","Evan Ramsey","4/14/2026 9:32:31 AM","Default"
"    Comb-Cam Door Locks, Installed","","","22.00","EA","","","62.00","1364.00","","","0.00","62.00","1364.00","Evan Ramsey","4/14/2026 8:24:46 AM","Evan Ramsey","4/14/2026 8:24:46 AM","Default"
"Sterilization 122","53.17","","53.17","","","","","5820.43","","","0.00","","5820.43","Evan Ramsey","4/14/2026 8:45:04 AM","Evan Ramsey","4/14/2026 8:45:04 AM","Default"
"  Drawer Ped, 4 Drw.","3","EA","3.00","","","","554.00","1662.00","","0.00","0.00","554.00","1662.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 9:29:22 AM","Default"
"    Drawer Ped, 4 Drw.","","","3.00","EA","","","554.00","1662.00","","","0.00","554.00","1662.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 8:45:36 AM","Default"
"  Lowers w/Doors, 34""-36""h","5.58","FT","5.58","","","","155.00","865.59","","0.00","0.00","155.00","865.59","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 9:29:22 AM","Default"
"    Lowers w/Doors, 34""-36""h","","","5.58","LF","","","155.00","865.59","","","0.00","155.00","865.59","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 8:45:36 AM","Default"
"  Finished End @ Lower Cabinet","1","EA","1.00","","","","48.00","48.00","","0.00","0.00","48.00","48.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 9:29:22 AM","Default"
"    Finished End @ Lower Cabinet","","","1.00","EA","","","48.00","48.00","","","0.00","48.00","48.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 8:45:36 AM","Default"
"  Filler Panel @ Lower, 3/4""t, Plam","1","EA","1.00","","","","61.00","61.00","","0.00","0.00","61.00","61.00","Evan Ramsey","4/14/2026 8:47:18 AM","Evan Ramsey","4/14/2026 9:29:22 AM","Default"
"    Filler Panel @ Lower, 3/4""t, Plam","","","1.00","EA","","","61.00","61.00","","","0.00","61.00","61.00","Evan Ramsey","4/14/2026 8:47:18 AM","Evan Ramsey","4/14/2026 8:47:18 AM","Default"
"  Glass Doors, per Door +Glass","4","EA","4.00","","","","117.00","468.00","","0.00","0.00","117.00","468.00","Evan Ramsey","4/14/2026 8:46:09 AM","Evan Ramsey","4/14/2026 9:29:05 AM","Default"
